model,task,variant,selected_feature_count,lasso_regression_oos_mae,lasso_regression_oos_mse,lasso_regression_oos_rmse,lasso_regression_oos_ic,lasso_regression_oos_rank_ic,lasso_oos_rank_ic,lgbm_classification_oos_accuracy,lgbm_classification_oos_precision,lgbm_classification_oos_recall,lgbm_classification_oos_f1,cost,cumulative_return,annualised_return,annualised_volatility,max_drawdown,sharpe_ratio,turnover,n_days,cost_bps,lgbm_regression_oos_mae,lgbm_regression_oos_mse,lgbm_regression_oos_rmse,lgbm_regression_oos_ic,lgbm_regression_oos_rank_ic,lgbm_oos_rank_ic,rf_classification_oos_accuracy,rf_classification_oos_precision,rf_classification_oos_recall,rf_classification_oos_f1,rf_regression_oos_mae,rf_regression_oos_mse,rf_regression_oos_rmse,rf_regression_oos_ic,rf_regression_oos_rank_ic,rf_oos_rank_ic,svm_classification_oos_accuracy,svm_classification_oos_precision,svm_classification_oos_recall,svm_classification_oos_f1,svm_regression_oos_mae,svm_regression_oos_mse,svm_regression_oos_rmse,svm_regression_oos_ic,svm_regression_oos_rank_ic,svm_oos_rank_ic,predictive_score,trading_score,rmse,ic,predictive_rank,trading_rank
rf,classification,boruta_onchain,22.0,,,,,,,,,,,5.0,11.182039,0.241769,0.361476,-0.655461,0.668837,0.386331,4214.0,5.0,,,,,,,0.5234899328859061,0.5348754448398576,0.5193503800967519,0.5269985974754559,,,,,,,,,,,,,,,,,0.5269985974754559,11.182039,,,11.0,1.0
rf,classification,boruta_all,28.0,,,,,,,,,,,5.0,8.386668,0.214046,0.344144,-0.540994,0.621966,0.344091,4214.0,5.0,,,,,,,0.5323207347227128,0.5409454061251664,0.5615065653075328,0.5510342488979314,,,,,,,,,,,,,,,,,0.5510342488979314,8.386668,,,10.0,2.0
rf,classification,all,,,,,,,,,,,,5.0,4.00318,0.149651,0.366783,-0.601231,0.40801,0.344566,4214.0,5.0,,,,,,,0.5245496291063229,0.5320228281547241,0.5798203178991016,0.5548941798941798,,,,,,,,,,,,,,,,,0.5548941798941798,4.00318,,,9.0,3.0
rf,classification,onchain,58.0,,,,,,,,,,,5.0,0.84284,0.054376,0.345641,-0.776264,0.157319,0.356431,4214.0,5.0,,,,,,,0.5075944895796538,0.5177494976557268,0.5342087076710436,0.5258503401360545,,,,,,,,,,,,,,,,,0.5258503401360545,0.84284,,,12.0,4.0
lgbm,classification,boruta_onchain,22.0,,,,,,,0.5215471564818085,0.5199138858988159,0.8344851416724257,0.6406685236768802,5.0,0.646665,0.044147,0.352563,-0.730371,0.125216,0.364025,4214.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6406685236768802,0.646665,,,6.0,5.0
svm,classification,boruta_all,28.0,,,,,,,,,,,5.0,-0.372321,-0.039537,0.344079,-0.800614,-0.114906,0.344566,4214.0,5.0,,,,,,,,,,,,,,,,,0.5174849876368774,0.5151628603519282,0.9509329647546648,0.6682855755220981,,,,,,,0.6682855755220981,-0.372321,,,2.0,6.0
lgbm,classification,onchain,58.0,,,,,,,0.5240197809961145,0.520604680057983,0.8686938493434693,0.6510423410591739,5.0,-0.511404,-0.060151,0.349261,-0.822612,-0.172223,0.328904,4214.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6510423410591739,-0.511404,,,3.0,7.0
svm,classification,boruta_onchain,22.0,,,,,,,,,,,5.0,-0.68941,-0.096319,0.318374,-0.810382,-0.302533,0.343617,4214.0,5.0,,,,,,,,,,,,,,,,,0.509184033910279,0.5102991223356619,0.9844505874222529,0.6721717588769611,,,,,,,0.6721717588769611,-0.68941,,,1.0,8.0
lgbm,classification,all,78.0,,,,,,,0.5166019074531968,0.5166489925768822,0.8417415342087077,0.640294388224471,5.0,-0.702827,-0.099769,0.347891,-0.892087,-0.286781,0.33365,4214.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.640294388224471,-0.702827,,,7.0,9.0
lgbm,classification,boruta_all,28.0,,,,,,,0.5127163546450018,0.5140070554056858,0.8559087767795439,0.6422922338908336,5.0,-0.784581,-0.124509,0.334971,-0.901178,-0.3717,0.336497,4214.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6422922338908336,-0.784581,,,5.0,10.0
svm,classification,onchain,58.0,,,,,,,,,,,5.0,-0.813358,-0.135316,0.324134,-0.860287,-0.417468,0.297105,4214.0,5.0,,,,,,,,,,,,,,,,,0.5084775697633345,0.510987923183528,0.891845196959226,0.6497168030207677,,,,,,,0.6497168030207677,-0.813358,,,4.0,11.0
svm,classification,all,,,,,,,,,,,,5.0,-0.874448,-0.164505,0.306503,-0.914917,-0.536717,0.292833,4214.0,5.0,,,,,,,,,,,,,,,,,0.5060049452490286,0.5100726895119418,0.848652384243262,0.6371773252043066,,,,,,,0.6371773252043066,-0.874448,,,8.0,12.0
rf,regression,boruta_all,8.0,,,,,,,,,,,5.0,17.678306,0.2886,0.390794,-0.502557,0.738496,0.313242,4214.0,5.0,,,,,,,,,,,0.022424914712120526,0.0011025807464134056,0.0332051313265496,0.09155413042636118,0.021669575215635076,0.021669575215635076,,,,,,,,,,,-0.0332051313265496,17.678306,0.0332051313265496,0.09155413042636118,6.0,1.0
rf,regression,boruta_onchain,6.0,,,,,,,,,,,5.0,9.087867,0.221645,0.359012,-0.712289,0.617376,0.351685,4214.0,5.0,,,,,,,,,,,0.022555189423705328,0.0011210777293168338,0.03348249885114362,0.06575131990689131,0.0277576623325723,0.0277576623325723,,,,,,,,,,,-0.03348249885114362,9.087867,0.03348249885114362,0.06575131990689131,8.0,2.0
lgbm,regression,onchain,58.0,,,,,,,,,,,5.0,2.752858,0.12137,0.361306,-0.702487,0.335921,0.298529,4214.0,5.0,0.02195734628497709,0.0010961184828100338,0.03310768011821477,0.02126862350381358,0.01216117198508256,0.01216117198508256,,,,,,,,,,,,,,,,,,,,,-0.03310768011821477,2.752858,0.03310768011821477,0.02126862350381358,3.0,3.0
lgbm,regression,boruta_onchain,6.0,,,,,,,,,,,5.0,1.120535,0.067273,0.360727,-0.629653,0.186492,0.321785,4214.0,5.0,0.02210557931820338,0.0010990900282226768,0.03315252672456018,0.0284258416769175,-0.008097819361793117,-0.008097819361793117,,,,,,,,,,,,,,,,,,,,,-0.03315252672456018,1.120535,0.03315252672456018,0.0284258416769175,5.0,4.0
lgbm,regression,all,78.0,,,,,,,,,,,5.0,0.023375,0.002003,0.369189,-0.885569,0.005426,0.289037,4214.0,5.0,0.021958837930795574,0.0010966834229224956,0.033116210878095576,0.023392618578765026,-0.0004374063193482838,-0.0004374063193482838,,,,,,,,,,,,,,,,,,,,,-0.033116210878095576,0.023375,0.033116210878095576,0.023392618578765026,4.0,5.0
rf,regression,onchain,,,,,,,,,,,,5.0,0.018504,0.001589,0.38776,-0.896249,0.004099,0.217371,4214.0,5.0,,,,,,,,,,,0.0258792661763341,0.0013631642869085278,0.03692105479138601,0.002529560269226604,0.0019856642645729363,0.0019856642645729363,,,,,,,,,,,-0.03692105479138601,0.018504,0.03692105479138601,0.002529560269226604,10.0,6.0
rf,regression,all,,,,,,,,,,,,5.0,0.005656,0.000489,0.390103,-0.878405,0.001253,0.207404,4214.0,5.0,,,,,,,,,,,0.02578947220390702,0.0013540810616449665,0.036797840448115515,0.015189534088754501,0.0009887475659973468,0.0009887475659973468,,,,,,,,,,,-0.036797840448115515,0.005656,0.036797840448115515,0.015189534088754501,9.0,7.0
svm,regression,boruta_all,8.0,,,,,,,,,,,5.0,-0.365122,-0.038587,0.386942,-0.704872,-0.099724,0.402943,4214.0,5.0,,,,,,,,,,,,,,,,,,,,,0.031246010141204747,0.0020878975226153555,0.045693517293105765,0.020143858122547167,0.004414525366587312,0.004414525366587312,-0.045693517293105765,-0.365122,0.045693517293105765,0.020143858122547167,12.0,8.0
lgbm,regression,boruta_all,8.0,,,,,,,,,,,5.0,-0.503312,-0.058813,0.369404,-0.794536,-0.15921,0.307072,4214.0,5.0,0.02213686909993378,0.0011034726924932846,0.03321855945843053,0.002913445622661861,-0.030178582338085663,-0.030178582338085663,,,,,,,,,,,,,,,,,,,,,-0.03321855945843053,-0.503312,0.03321855945843053,0.002913445622661861,7.0,9.0
svm,regression,all,,,,,,,,,,,,5.0,-0.73965,-0.110025,0.342426,-0.829235,-0.32131,0.28524,4214.0,5.0,,,,,,,,,,,,,,,,,,,,,0.04061235021035164,0.002798880698156489,0.052904448755813425,-0.012245539800179178,-0.013787343789976841,-0.013787343789976841,-0.052904448755813425,-0.73965,0.052904448755813425,-0.012245539800179178,14.0,10.0
svm,regression,boruta_onchain,6.0,,,,,,,,,,,5.0,-0.783989,-0.124301,0.349867,-0.878584,-0.355281,0.389179,4214.0,5.0,,,,,,,,,,,,,,,,,,,,,0.033591011955322485,0.002399478106618668,0.04898446801404163,-0.027003084228724085,-0.028442563055816925,-0.028442563055816925,-0.04898446801404163,-0.783989,0.04898446801404163,-0.027003084228724085,13.0,11.0
svm,regression,onchain,,,,,,,,,,,,5.0,-0.830643,-0.142564,0.343999,-0.873597,-0.414431,0.311343,4214.0,5.0,,,,,,,,,,,,,,,,,,,,,0.045193894358542534,0.003502649517248732,0.059183186102547164,-0.032064951901078366,-0.029292875334620265,-0.029292875334620265,-0.059183186102547164,-0.830643,0.059183186102547164,-0.032064951901078366,15.0,12.0
lasso,regression,boruta_all,,0.019288450825338532,0.0007713579407981545,0.0277733314674015,0.016520033082564257,0.008601201471709976,0.008601201471709976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0277733314674015,,0.0277733314674015,0.016520033082564257,1.0,
lgbm,regression,ta,,,,,,,,,,,,,,,,,,,,,0.022044387023551684,0.0010953835788920544,0.033096579564844075,0.03907034022141812,0.004871510613366828,0.004871510613366828,,,,,,,,,,,,,,,,,,,,,-0.033096579564844075,,0.033096579564844075,0.03907034022141812,2.0,
svm,regression,ta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030647241999849275,0.001986340207121282,0.04456837676112158,0.022125805969599288,0.02402291728413564,0.02402291728413564,-0.04456837676112158,,0.04456837676112158,0.022125805969599288,11.0,
