model,task,variant,cnn_lstm_classification_full_history_accuracy,cnn_lstm_classification_full_history_precision,cnn_lstm_classification_full_history_recall,cnn_lstm_classification_full_history_f1,cumret_5bps,sharpe_5bps,mdd_5bps,turnover_5bps,cumret_10bps,sharpe_10bps,mdd_10bps,turnover_10bps,cumret_20bps,sharpe_20bps,mdd_20bps,turnover_20bps,cnn_lstm_classification_oos_accuracy,cnn_lstm_classification_oos_precision,cnn_lstm_classification_oos_recall,cnn_lstm_classification_oos_f1,cnn_lstm_regression_oos_mae,cnn_lstm_regression_oos_mse,cnn_lstm_regression_oos_rmse,cnn_lstm_regression_oos_ic,cnn_lstm_regression_oos_rank_ic,cnn_lstm_oos_rank_ic,gru_classification_oos_accuracy,gru_classification_oos_precision,gru_classification_oos_recall,gru_classification_oos_f1,gru_regression_oos_mae,gru_regression_oos_mse,gru_regression_oos_rmse,gru_regression_oos_ic,gru_regression_oos_rank_ic,gru_oos_rank_ic,lstm_classification_oos_accuracy,lstm_classification_oos_precision,lstm_classification_oos_recall,lstm_classification_oos_f1,lstm_regression_oos_mae,lstm_regression_oos_mse,lstm_regression_oos_rmse,lstm_regression_oos_ic,lstm_regression_oos_rank_ic,lstm_oos_rank_ic,tcn_classification_oos_accuracy,tcn_classification_oos_precision,tcn_classification_oos_recall,tcn_classification_oos_f1,tcn_regression_oos_mae,tcn_regression_oos_mse,tcn_regression_oos_rmse,tcn_regression_oos_ic,tcn_regression_oos_rank_ic,tcn_oos_rank_ic
cnn_lstm,classification,boruta_onchain,,,,,0.641326652815781,0.1201786034842803,-0.6907269596214856,0.1414333175130517,0.21835897334888,0.0473226590971516,-0.7201581806757739,0.1414333175130517,-0.3286704638244587,-0.0931701746644106,-0.7709538370528564,0.1414333175130517,0.5054750971388202,0.5089728904161894,0.9212163096060816,0.6556812592228234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnn_lstm,classification,onchain,,,,,-0.4651110774729796,-0.141548859649027,-0.76687735161504,0.2415757000474608,-0.6784802077809717,-0.2513783657304167,-0.8187466850940815,0.2415757000474608,-0.8838294809083569,-0.4573656349300859,-0.9029655319702558,0.2415757000474608,0.5031790886612505,0.5147756293323604,0.48756046993780233,0.5007985803016858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnn_lstm,regression,boruta_onchain,,,,,3.588758912697858,0.370972539354068,-0.6616311402825875,0.2534409112482202,1.6901840144160278,0.235388172855724,-0.6835590661104797,0.2534409112482202,-0.075396610827922,-0.0177966494538682,-0.723243903186425,0.2534409112482202,,,,,0.02224719329807571,0.0011028463048678512,0.03320912984207583,0.04964294627175127,0.028749730656912643,0.028749730656912643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnn_lstm,regression,onchain,,,,,-0.6659543706059126,-0.2630525252889074,-0.7091164021797535,0.2501186521120075,-0.8027883340070373,-0.3809140356784217,-0.8146171437896111,0.2501186521120075,-0.9312636893708834,-0.6008922246083084,-0.9331834907821652,0.2501186521120075,,,,,0.02377840107031066,0.0011976377821384598,0.034606903677423376,-0.018716966357303688,-0.018383340089641112,-0.018383340089641112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gru,classification,boruta_onchain,,,,,1.9454839888514028,0.2862433167651015,-0.6505061874030418,0.1827242524916943,1.004256454144349,0.1813906748309653,-0.6880054068749516,0.1827242524916943,-0.0720030694840496,-0.0188980947310186,-0.7513650247764938,0.1827242524916943,,,,,,,,,,,0.5068880254327093,0.5117295308187673,0.7688320663441603,0.6144711405689036,,,,,,,,,,,,,,,,,,,,,,,,,,
gru,classification,onchain,,,,,-0.7561748917502972,-0.2853302707942898,-0.8935671966802885,0.0953962980541053,-0.8005724128376022,-0.3230879739384909,-0.9105216180731596,0.0953962980541053,-0.8665867840288726,-0.3965171292615951,-0.9380704744787274,0.0953962980541053,,,,,,,,,,,0.4987636877428471,0.5101522842639594,0.4861782999308915,0.49787685774946927,,,,,,,,,,,,,,,,,,,,,,,,,,
gru,regression,boruta_onchain,,,,,5.766890129641629,0.4897661345586131,-0.5989469162466596,0.2434741338395823,3.0513154097650217,0.350527535133059,-0.6217354581586649,0.2434741338395823,0.4521447781756589,0.089430113257696,-0.6689701121795565,0.2434741338395823,,,,,,,,,,,,,,,0.02240171445936505,0.0011068688961799402,0.03326963925533218,0.048821850814905914,0.02534574847725961,0.02534574847725961,,,,,,,,,,,,,,,,,,,,
gru,regression,onchain,,,,,5.071269946437674,0.4917592774882391,-0.4924090887120605,0.1998101566207878,2.9851214958247017,0.3700790680791403,-0.5267253712746978,0.1998101566207878,0.716981487662169,0.1394343939845878,-0.5924353372507506,0.1998101566207878,,,,,,,,,,,,,,,0.02316538135591282,0.001167614751448959,0.03417037827488831,0.025914587617627754,0.02128410527579354,0.02128410527579354,,,,,,,,,,,,,,,,,,,,
lstm,classification,boruta_onchain,,,,,-0.345152147321411,-0.0988398084834445,-0.6945225495834142,0.1822496440436639,-0.5539625475195727,-0.1855091020146257,-0.7497849923984875,0.1822496440436639,-0.7930653748885672,-0.3505772822498329,-0.859010590253517,0.1822496440436639,,,,,,,,,,,,,,,,,,,,,0.49558459908159663,0.5039949537426409,0.8282653766413269,0.6266666666666667,,,,,,,,,,,,,,,,
lstm,classification,onchain,,,,,-0.059737935504352,-0.0164543391594557,-0.7495826763453413,0.0859041290934978,-0.215412086944532,-0.0642778852984768,-0.7734782300744485,0.0859041290934978,-0.4537052701177051,-0.1575749890660762,-0.8260480451142359,0.0859041290934978,,,,,,,,,,,,,,,,,,,,,0.5111268103143766,0.5111268103143766,1.0,0.6764843384759234,,,,,,,,,,,,,,,,
lstm,regression,boruta_onchain,,,,,15.54925114156006,0.7329970929721467,-0.5798823745719409,0.3065970574276222,7.674093741657304,0.5485847080088108,-0.609262987021109,0.3065970574276222,1.3829538999732307,0.2084738132869475,-0.6620037730297583,0.3065970574276222,,,,,,,,,,,,,,,,,,,,,,,,,0.022422135495716027,0.0011033317188231249,0.03321643747940355,0.07141284095023506,0.046470107945804306,0.046470107945804306,,,,,,,,,,
lstm,regression,onchain,,,,,-0.0748427224393536,-0.0197623528367414,-0.7217632365344718,0.2045562411010916,-0.3987782993091057,-0.126885969873764,-0.774605815168567,0.2045562411010916,-0.7460940931652167,-0.3294114448110285,-0.8665334610379488,0.2045562411010916,,,,,,,,,,,,,,,,,,,,,,,,,0.02427414790138871,0.0012344016876059446,0.035134053105298636,-0.013681700770949993,-0.020182544246094593,-0.020182544246094593,,,,,,,,,,
tcn,classification,boruta_onchain,,,,,5.404734437773487,0.4963076399459748,-0.7069444762726509,0.3208353108685334,2.257752279580044,0.3069199978528449,-0.7859173636099349,0.3208353108685334,-0.157146843066507,-0.0420186777939049,-0.8866294233280099,0.3208353108685334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5107735782409043,0.5139513951395139,0.7892190739460954,0.6225129463068957,,,,,,
tcn,classification,onchain,,,,,5.261157506689453,0.5006681122813533,-0.6469870432917152,0.2325581395348837,2.835750346743869,0.3596511403853858,-0.6538041134984677,0.2325581395348837,0.4395996775560444,0.0936482455754122,-0.6670458606535962,0.2325581395348837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5229600847756977,0.5326565143824027,0.5438838977194195,0.5382116601128398,,,,,,
tcn,regression,boruta_onchain,,,,,11.89913292783248,0.6545566904160456,-0.6849397787932658,0.3426672994779307,5.266137237442142,0.4551697344257602,-0.7196528250522539,0.3426672994779307,0.478695225011307,0.0911228742591795,-0.8384154159764498,0.3426672994779307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022943674357584053,0.00113591823257345,0.03370338606985135,0.07954147775277991,0.07162229519723459,0.07162229519723459
tcn,regression,onchain,,,,,-0.2417476182562057,-0.0608322527681653,-0.7640144269937578,0.26578073089701,-0.5668793668629941,-0.1794492680787671,-0.8296643892450485,0.26578073089701,-0.8586814887730571,-0.3995021251378159,-0.9204225728081024,0.26578073089701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029736415184060012,0.0021384938650365415,0.04624385218638843,0.0169580812012787,-0.0003364701870162888,-0.0003364701870162888
