prediction_scope,model,task,variant,strategy,period,period_start,period_end,prediction_start,effective_strategy_start,cost_bps,exposure_rate,long_rate,short_rate,cumulative_return,annualised_return,sharpe_ratio,max_drawdown,turnover,n_days
oos,svm,regression,boruta_onchain,full_exposure_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,1.0,0.5436241610738255,0.4563758389261745,50.69598700474484,0.407384774787358,0.7748419812829188,-0.7451589441157604,0.49121974371143806,4214
oos,svm,regression,boruta_onchain,full_exposure_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,1.0,0.5581081081081081,0.4418918918918919,12.824427745741756,0.9823062284285646,1.7453411772882799,-0.4412625394456742,0.45753033547466093,1401
oos,svm,regression,boruta_onchain,full_exposure_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,1.0,0.5993055555555555,0.40069444444444446,2.368034048178487,0.3607181609791352,0.577033753857413,-0.7451589441157613,0.6309937456567061,1439
oos,svm,regression,boruta_onchain,full_exposure_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,1.0,0.4039938556067588,0.5960061443932412,0.11133865361937367,0.055688486656165104,0.11799919973996947,-0.5751182025348336,0.729957805907173,711
oos,svm,regression,boruta_onchain,long_only_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.3013069586718474,0.3013069586718474,0.0,13.203573524277404,0.258392498471276,0.828503474791352,-0.582329083002617,0.21120075937351684,4214
oos,svm,regression,boruta_onchain,long_only_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.34324324324324323,0.34324324324324323,0.0,3.5927504013877494,0.48760846983099215,1.4682826923016494,-0.3148361659090047,0.20485367594575304,1401
oos,svm,regression,boruta_onchain,long_only_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.3388888888888889,0.3388888888888889,0.0,2.2974307064864696,0.3534256859543159,0.8858637533057379,-0.5823290830026153,0.3161917998610146,1439
oos,svm,regression,boruta_onchain,long_only_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.17050691244239632,0.17050691244239632,0.0,-0.04525568357022958,-0.023494254631608036,-0.1227048192277816,-0.3043766039031021,0.20815752461322082,711
oos,svm,regression,boruta_onchain,long_only_band_0.005,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.1600141292829389,0.1600141292829389,0.0,7.849546436538326,0.20786542541108166,0.8913823455192946,-0.42897375154492584,0.1305173232083531,4214
oos,svm,regression,boruta_onchain,long_only_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.20135135135135135,0.20135135135135135,0.0,1.4014162702183692,0.25638429021825204,0.9910505942714107,-0.3180140537841849,0.13847251962883655,1401
oos,svm,regression,boruta_onchain,long_only_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.18472222222222223,0.18472222222222223,0.0,2.655462410447698,0.3892787749984803,1.3375028285446136,-0.428973751544926,0.20639332870048646,1439
oos,svm,regression,boruta_onchain,long_only_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.05837173579109063,0.05837173579109063,0.0,0.008621888223754537,0.004416899127366536,0.03217600130610059,-0.16022165104080005,0.08157524613220815,711
oos,svm,regression,boruta_onchain,long_only_band_0.01,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.05227834687389615,0.05227834687389615,0.0,0.9291918334286091,0.05856636083961586,0.4525499815659869,-0.20362981629884194,0.053156146179401995,4214
oos,svm,regression,boruta_onchain,long_only_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.06756756756756757,0.06756756756756757,0.0,0.39118848317435706,0.0898233002259905,0.6648277693143566,-0.13785075274137593,0.06138472519628837,1401
oos,svm,regression,boruta_onchain,long_only_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.06388888888888888,0.06388888888888888,0.0,0.45836730645045565,0.10043546029622319,0.5732841656200387,-0.20362981629884272,0.08617095205003475,1439
oos,svm,regression,boruta_onchain,long_only_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.009216589861751152,0.009216589861751152,0.0,-0.04912698797008097,-0.025528940822281854,-0.7425279519986292,-0.06254645925276453,0.01969057665260197,711
oos,svm,regression,boruta_onchain,long_only_sign,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.5436241610738255,0.5436241610738255,0.0,20.95950239706846,0.30679068482515826,0.7887038165549184,-0.5777011294163666,0.24584717607973422,4214
oos,svm,regression,boruta_onchain,long_only_sign,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.5581081081081081,0.5581081081081081,0.0,2.9093228374614046,0.4264585093287703,1.077372886751176,-0.42504012654059947,0.2291220556745182,1401
oos,svm,regression,boruta_onchain,long_only_sign,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.5993055555555555,0.5993055555555555,0.0,3.999795632788482,0.504139434676242,1.01074651602013,-0.577701129416361,0.31549687282835304,1439
oos,svm,regression,boruta_onchain,long_only_sign,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.4039938556067588,0.4039938556067588,0.0,0.12399604389049079,0.061843916112547914,0.21309215410399057,-0.2915439260593985,0.3656821378340366,711
oos,svm,regression,boruta_onchain,quantile_long_only_0.05,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.05015895443306252,0.05015895443306252,0.0,0.6850956646864643,0.04623518778891689,0.3663092084842114,-0.2036298162988422,0.04935927859515899,4214
oos,svm,regression,boruta_onchain,quantile_long_only_0.05,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.06554054054054054,0.06554054054054054,0.0,0.4154175724942424,0.09473672602182726,0.7053707321019845,-0.13785075274137581,0.059957173447537475,1401
oos,svm,regression,boruta_onchain,quantile_long_only_0.05,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.06180555555555556,0.06180555555555556,0.0,0.2286180596789824,0.05361137168272245,0.3167477885809963,-0.20362981629884286,0.08061153578874218,1439
oos,svm,regression,boruta_onchain,quantile_long_only_0.05,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.0069124423963133645,0.0069124423963133645,0.0,-0.031001547738381596,-0.01603693173891796,-0.5299775700576617,-0.043180618017899845,0.011251758087201125,711
oos,svm,regression,boruta_onchain,quantile_long_only_0.10,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.10014129282938891,0.10014129282938891,0.0,3.1121932726329167,0.1302867004810302,0.7063666133058342,-0.40230928331108434,0.08685334598955861,4214
oos,svm,regression,boruta_onchain,quantile_long_only_0.10,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.12635135135135134,0.12635135135135134,0.0,1.0998568073060726,0.21321981720078376,1.102020605026057,-0.2270472318690866,0.09564596716630978,1401
oos,svm,regression,boruta_onchain,quantile_long_only_0.10,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.12222222222222222,0.12222222222222222,0.0,1.1604123483297535,0.21577910521445665,0.8661441081107301,-0.4023092833110845,0.14315496872828354,1439
oos,svm,regression,boruta_onchain,quantile_long_only_0.10,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.021505376344086023,0.021505376344086023,0.0,-0.09354304227552235,-0.049168218757763116,-1.053713067011843,-0.10493604601842627,0.03656821378340366,711
oos,svm,regression,boruta_onchain,quantile_long_only_0.20,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.2001059696220417,0.2001059696220417,0.0,10.928814700648479,0.2395116016139609,0.9221391401007963,-0.5043047414488933,0.15662078785002373,4214
oos,svm,regression,boruta_onchain,quantile_long_only_0.20,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.25067567567567567,0.25067567567567567,0.0,2.886557271230997,0.4242896667033018,1.4800216531718406,-0.2908479250239459,0.16131334760885083,1401
oos,svm,regression,boruta_onchain,quantile_long_only_0.20,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.22847222222222222,0.22847222222222222,0.0,1.9810391276149253,0.3192362806389448,0.9768231059917687,-0.5043047414488899,0.24669909659485753,1439
oos,svm,regression,boruta_onchain,quantile_long_only_0.20,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.07987711213517665,0.07987711213517665,0.0,0.03010546567921213,0.015343432419729908,0.10444281151962052,-0.1713631552306898,0.10970464135021098,711
oos,svm,regression,boruta_onchain,quantile_ls_0.05,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.10031790886612504,0.05015895443306252,0.05015895443306252,0.8126077923340347,0.05286637601379529,0.29073697826070904,-0.33182422826202973,0.10963455149501661,4214
oos,svm,regression,boruta_onchain,quantile_ls_0.05,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.1358108108108108,0.06554054054054054,0.07027027027027027,-0.11106036398866692,-0.030205347468465926,-0.1525743020226714,-0.33182422826202973,0.12276945039257674,1401
oos,svm,regression,boruta_onchain,quantile_ls_0.05,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.10208333333333333,0.06180555555555556,0.04027777777777778,0.7664216965137278,0.1552476363055495,0.7163856545420928,-0.26763062601873616,0.15288394718554552,1439
oos,svm,regression,boruta_onchain,quantile_ls_0.05,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.05606758832565284,0.0069124423963133645,0.04915514592933948,0.15492645250267545,0.07674529224537951,0.4984517367698335,-0.12868695230939173,0.0970464135021097,711
oos,svm,regression,boruta_onchain,quantile_ls_0.10,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.20028258565877782,0.10014129282938891,0.10014129282938891,3.8421975460746403,0.14639866085327302,0.5595472119960173,-0.4439485714418195,0.19553868058851448,4214
oos,svm,regression,boruta_onchain,quantile_ls_0.10,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.24797297297297297,0.12635135135135134,0.12162162162162163,0.13873519626380015,0.034426685398542434,0.12183734461143862,-0.4439485714418195,0.18986438258386867,1401
oos,svm,regression,boruta_onchain,quantile_ls_0.10,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.21145833333333333,0.12222222222222222,0.08923611111111111,2.317013184604445,0.35545990742742894,1.1226265250259984,-0.4236750013121916,0.28353022932592076,1439
oos,svm,regression,boruta_onchain,quantile_ls_0.10,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.12135176651305683,0.021505376344086023,0.09984639016897082,0.28259549046586807,0.1362897547696884,0.6393226830183364,-0.13993536668789974,0.20956399437412096,711
oos,svm,regression,boruta_onchain,quantile_ls_0.20,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.4002119392440834,0.2001059696220417,0.2001059696220417,5.395021281081582,0.17435349279344625,0.49876356543225236,-0.6099229324249348,0.3350735643094447,4214
oos,svm,regression,boruta_onchain,quantile_ls_0.20,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.46554054054054056,0.25067567567567567,0.21486486486486486,1.5991163781060242,0.28254850051338387,0.7555847861369656,-0.4437483344129225,0.3083511777301927,1401
oos,svm,regression,boruta_onchain,quantile_ls_0.20,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.4048611111111111,0.22847222222222222,0.1763888888888889,1.3038314970279696,0.23576255383415012,0.567673501037378,-0.6099229324249353,0.47046560111188324,1439
oos,svm,regression,boruta_onchain,quantile_ls_0.20,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.315668202764977,0.07987711213517665,0.2357910906298003,0.06905451277146457,0.03487383332741323,0.11035379040305734,-0.4381666859747793,0.42334739803094235,711
oos,svm,regression,boruta_onchain,sign_band_0.0025,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.5219003885552809,0.3013069586718474,0.22059342988343342,6.340760655593855,0.1884668274282837,0.47979854085556206,-0.5808752898063829,0.4000949216896061,4214
oos,svm,regression,boruta_onchain,sign_band_0.0025,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.577027027027027,0.34324324324324323,0.23378378378378378,1.7923894146507182,0.3067403977813681,0.7416953716859608,-0.48410926950395483,0.36045681655960027,1401
oos,svm,regression,boruta_onchain,sign_band_0.0025,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.5336805555555556,0.3388888888888889,0.19479166666666667,1.8346062362884363,0.302488939699481,0.6346357806822062,-0.5808752898063837,0.5496872828353023,1439
oos,svm,regression,boruta_onchain,sign_band_0.0025,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.43317972350230416,0.17050691244239632,0.2626728110599078,-0.05544452474783568,-0.028857998322367684,-0.08410700533195867,-0.47733360377899753,0.5471167369901547,711
oos,svm,regression,boruta_onchain,sign_band_0.005,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.2432002825856588,0.1600141292829389,0.08318615330271989,11.64892990312649,0.24582068307881388,0.8494117437718638,-0.4669162296777162,0.22401518747033697,4214
oos,svm,regression,boruta_onchain,sign_band_0.005,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.3013513513513513,0.20135135135135135,0.1,0.298004712183936,0.07031512300339204,0.21961800870318637,-0.4669162296777162,0.21984296930763741,1401
oos,svm,regression,boruta_onchain,sign_band_0.005,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.25763888888888886,0.18472222222222223,0.07291666666666667,5.403273394190542,0.6015575966223872,1.7600409346491996,-0.416529486470204,0.32453092425295343,1439
oos,svm,regression,boruta_onchain,sign_band_0.005,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.14516129032258066,0.05837173579109063,0.08678955453149001,0.5233853204824239,0.24121635383387252,1.0046591919410506,-0.12497753074035697,0.2348804500703235,711
oos,svm,regression,boruta_onchain,sign_band_0.01,full_sample,1677-09-21,2026-04-02,2018-03-17,2018-03-17,5.0,0.06976333451077357,0.05227834687389615,0.01748498763687743,1.1557607400826342,0.06879683705534356,0.4237753224496863,-0.3201219612347074,0.07593735168485999,4214
oos,svm,regression,boruta_onchain,sign_band_0.01,cycle_2016_2020,2016-07-09,2020-05-10,2018-03-17,2018-03-17,5.0,0.10608108108108108,0.06756756756756757,0.038513513513513516,0.152124586580215,0.037581785621455754,0.20864324442447532,-0.3201219612347074,0.09992862241256245,1401
oos,svm,regression,boruta_onchain,sign_band_0.01,cycle_2020_2024,2020-05-11,2024-04-19,2018-03-17,2020-05-11,5.0,0.07083333333333333,0.06388888888888888,0.006944444444444444,0.7868398151692639,0.15862022709092538,0.8254895649062365,-0.21517304488394712,0.09867963863794302,1439
oos,svm,regression,boruta_onchain,sign_band_0.01,cycle_2024_end,2024-04-20,2026-04-02,2018-03-17,2024-04-20,5.0,0.026113671274961597,0.009216589861751152,0.016897081413210446,0.04768961716708153,0.024204448145991986,0.1825958208092,-0.13401871547667887,0.052039381153305204,711
